date,temp_max,temp_min,temp_mean,precipitation,windspeed,winddirection
2024-02-27,9.8,3.6,6.9,0.3,28.7,2
2024-02-28,11.1,-0.1,6.0,0.0,14.2,249
2024-02-29,11.3,7.0,9.6,2.3,25.9,211
2024-03-01,12.1,3.9,7.3,6.3,29.9,213
2024-03-02,8.1,4.5,6.1,10.8,22.7,199
2024-03-03,10.0,2.7,5.6,0.2,15.0,300
2024-03-04,10.9,-1.6,5.1,1.8,17.3,184
2024-03-05,10.0,3.6,6.4,0.6,20.4,240
2024-03-06,11.4,0.4,5.7,0.0,8.9,197
2024-03-07,13.4,2.7,7.5,0.0,24.0,91
2024-03-08,14.3,3.7,8.2,5.4,19.2,119
2024-03-09,10.4,4.0,7.4,5.0,18.9,135
2024-03-10,12.0,2.9,7.0,0.6,8.9,179
2024-03-11,12.8,2.5,7.5,0.9,19.5,280
2024-03-12,12.8,5.9,9.3,1.4,20.5,235
2024-03-13,15.6,7.8,10.9,0.1,14.0,204
2024-03-14,17.5,4.7,11.2,0.0,16.9,193
2024-03-15,15.5,11.4,12.9,2.6,26.3,235
2024-03-16,15.5,10.2,12.5,1.7,21.4,242
2024-03-17,17.6,10.8,13.3,1.5,13.2,197
2024-03-18,16.1,7.9,12.5,6.3,13.0,268
2024-03-19,17.7,5.2,11.3,0.0,10.5,69
2024-03-20,19.7,7.1,11.9,0.7,11.9,67
2024-03-21,19.5,9.4,13.5,0.6,10.8,19
2024-03-22,19.2,7.1,12.9,0.0,19.0,295
2024-03-23,10.8,5.3,8.4,2.8,30.1,274
2024-03-24,11.1,4.4,7.5,0.4,19.6,276
2024-03-25,12.9,2.6,8.4,0.0,18.5,116
2024-03-26,11.0,5.8,8.2,16.0,19.4,215
2024-03-27,11.6,4.3,7.8,2.6,28.3,186
2024-03-28,11.1,5.0,8.5,7.1,43.5,208
2024-03-29,12.5,7.9,10.1,4.3,18.6,195
2024-03-30,12.9,5.5,8.8,4.0,17.1,135
2024-03-31,13.3,5.8,9.2,1.5,21.2,188
2024-04-01,13.8,6.9,9.9,2.1,32.1,224
2024-04-02,15.2,6.8,10.7,1.5,24.9,206
2024-04-03,16.0,10.2,12.7,4.2,32.1,231
2024-04-04,17.4,11.8,14.2,5.6,28.1,223
2024-04-05,20.3,12.0,16.0,1.7,22.9,189
2024-04-06,23.7,15.4,18.8,4.5,29.5,198
2024-04-07,17.8,11.8,14.7,6.7,15.5,227
2024-04-08,21.0,9.7,13.7,4.9,26.9,212
